Case Type,Filing Date,Registration Date,CNR Number,First Hearing Date,Decision Date,Case Status,Nature of Disposal,Under Act,Under Section
778,01/03/2023,11/21/2023,MHPU010064392023,11/01/2024,04/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
779,09/07/2023,3/5/2023,MHPU010064392023,24/04/2024,20/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
780,10/12/2023,2/25/2023,MHPU010112742023,19/05/2023,28/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
781,22/07/2023,9/10/2023,MHPU010155972023,23/02/2024,29/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,o21
782,04/04/2023,6/26/2023,MHPU010043232023,26/08/2024,20/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,40
783,02/02/2023,2/11/2023,MHPU010135842023,07/09/2024,23/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,166
784,24/01/2023,10/16/2023,MHPU010112742023,01/04/2023,30/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,166
785,26/11/2023,8/10/2023,MHPU010258492022,03/05/2023,23/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,40
786,23/09/2023,11/10/2023,MHPU010000532023,14/06/2023,20/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
787,20/08/2023,5/22/2023,MHPU010112742023,29/08/2024,21/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
788,04/12/2023,12/30/2023,MHPU010170062023,19/03/2024,06/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
789,02/04/2023,2/3/2023,MHPU010063022023,02/04/2024,18/12/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,40
790,07/12/2023,7/13/2023,MHPU010043232023,20/08/2024,25/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
791,10/03/2023,10/24/2023,MHPU010112742023,16/04/2024,03/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,166
792,30/12/2023,1/6/2023,MHPU010064392023,03/02/2023,17/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,151 dar
793,15/04/2023,1/23/2023,MHPU010000532023,19/06/2024,01/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,140
794,27/08/2023,10/24/2023,MHPU010155972023,26/08/2023,01/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,40
795,14/04/2023,7/18/2023,MHPU010063022023,08/04/2023,15/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
796,29/03/2023,5/18/2023,MHPU010086342023,30/07/2023,28/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
797,17/01/2023,8/14/2023,MHPU010000532023,14/10/2023,19/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,140
798,22/05/2023,12/26/2023,MHPU010101462023,09/01/2023,02/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
799,16/03/2023,2/6/2023,MHPU010063022023,23/04/2023,15/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
800,31/03/2023,2/16/2023,MHPU010064392023,10/05/2024,13/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,166
801,18/03/2023,10/23/2023,MHPU010135842023,11/05/2024,14/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
802,24/03/2023,11/20/2023,MHPU010170062023,20/04/2024,01/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
803,17/12/2023,1/20/2023,MHPU010064392023,12/04/2024,28/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,166
804,26/06/2023,4/6/2023,MHPU010155972023,12/09/2024,11/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,151 dar
805,26/01/2023,4/9/2023,MHPU010043232023,16/02/2024,23/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,140
806,08/08/2023,3/30/2023,MHPU010170062023,15/02/2023,26/09/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,151 dar
807,17/02/2023,8/28/2023,MHPU010112742023,24/09/2023,26/12/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,o21
808,15/12/2023,5/9/2023,MHPU010064392023,31/07/2023,16/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
809,01/09/2023,5/27/2023,MHPU010155972023,05/06/2024,17/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,166
810,05/03/2023,3/1/2023,MHPU010074592023,11/04/2024,26/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,o21
811,20/06/2023,3/31/2023,MHPU010170062023,29/07/2024,25/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,o21
812,11/01/2023,7/29/2023,MHPU010000532023,08/01/2024,23/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,40
813,17/04/2023,9/25/2023,MHPU010258492022,18/11/2023,28/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,151 dar
814,27/06/2023,6/6/2023,MHPU010086342023,04/02/2024,09/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
815,15/07/2023,5/28/2023,MHPU010060312023,20/03/2023,21/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
816,12/04/2023,1/27/2023,MHPU010176002023,05/06/2024,12/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
817,11/06/2023,11/18/2023,MHPU010074592023,01/10/2023,10/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
818,25/05/2023,7/5/2023,MHPU010060312023,04/02/2024,09/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
819,13/03/2023,9/1/2023,MHPU010101462023,10/06/2024,22/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
820,09/06/2023,3/10/2023,MHPU010155972023,21/08/2024,25/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,151 dar
821,29/05/2023,3/3/2023,MHPU010060312023,16/08/2024,17/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
822,30/09/2023,3/7/2023,MHPU010258492022,15/03/2023,20/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,151 dar
823,17/12/2023,10/24/2023,MHPU010258492022,13/07/2023,27/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
824,21/01/2023,11/25/2023,MHPU010176002023,04/06/2024,11/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
825,19/02/2023,12/23/2023,MHPU010043232023,06/01/2024,23/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
826,21/12/2023,2/21/2023,MHPU010086342023,10/05/2023,07/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
827,04/02/2023,8/7/2023,MHPU010043232023,17/09/2023,24/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
828,21/12/2023,4/2/2023,MHPU010086342023,26/01/2024,11/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
829,17/07/2023,2/22/2023,MHPU010064392023,13/10/2023,01/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
830,20/10/2023,7/3/2023,MHPU010135842023,25/04/2024,05/12/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,140
831,06/05/2023,2/26/2023,MHPU010043232023,09/02/2024,17/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
832,12/11/2023,9/9/2023,MHPU010060312023,25/12/2023,21/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,151 dar
833,12/03/2023,11/16/2023,MHPU010170062023,29/04/2024,04/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,151 dar
834,12/10/2023,7/10/2023,MHPU010086342023,24/10/2023,18/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,151 dar
835,26/09/2023,1/14/2023,MHPU010063022023,14/11/2023,22/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
836,16/02/2023,2/10/2023,MHPU010112742023,11/03/2023,28/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
837,03/06/2023,1/8/2023,MHPU010155972023,05/07/2023,13/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
838,10/01/2023,1/23/2023,MHPU010086342023,22/07/2024,28/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
839,08/08/2023,12/5/2023,MHPU010086342023,13/07/2024,14/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,151 dar
840,29/06/2023,6/18/2023,MHPU010074592023,09/02/2023,03/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
841,03/08/2023,1/29/2023,MHPU010043232023,10/01/2023,03/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,151 dar
842,10/11/2023,8/7/2023,MHPU010176002023,03/05/2023,22/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
843,06/10/2023,5/6/2023,MHPU010176002023,13/01/2023,05/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
844,13/02/2023,3/10/2023,MHPU010101462023,13/09/2024,26/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
845,02/08/2023,10/17/2023,MHPU010043232023,21/07/2024,29/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
846,12/11/2023,7/15/2023,MHPU010170062023,08/09/2023,19/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,o21
847,20/04/2023,11/10/2023,MHPU010176002023,11/02/2023,21/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,166
848,10/08/2023,10/9/2023,MHPU010101462023,05/03/2024,02/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
849,25/06/2023,12/4/2023,MHPU010086342023,04/04/2023,30/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,o21
850,02/03/2023,8/20/2023,MHPU010155972023,02/06/2023,16/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,40
851,30/11/2023,8/28/2023,MHPU010155972023,28/07/2023,14/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
852,30/07/2023,11/1/2023,MHPU010064392023,10/04/2023,24/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
853,15/02/2023,11/16/2023,MHPU010258492022,18/02/2024,08/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
854,10/11/2023,12/9/2023,MHPU010112742023,22/03/2023,10/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
855,27/01/2023,5/30/2023,MHPU010000532023,30/12/2023,16/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,166
856,19/06/2023,10/6/2023,MHPU010086342023,03/10/2023,13/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
857,04/07/2023,7/29/2023,MHPU010064392023,16/05/2023,15/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,151 dar
858,14/05/2023,5/12/2023,MHPU010176002023,04/01/2024,05/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,166
859,09/08/2023,8/9/2023,MHPU010112742023,09/04/2023,10/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
860,26/04/2023,5/6/2023,MHPU010170062023,22/10/2023,16/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,151 dar
861,01/09/2023,7/21/2023,MHPU010155972023,02/05/2023,06/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,40
862,17/07/2023,10/22/2023,MHPU010060312023,15/10/2023,24/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
863,22/10/2023,9/12/2023,MHPU010258492022,17/01/2023,11/12/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,166
864,23/09/2023,6/3/2023,MHPU010000532023,07/07/2023,30/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
865,12/04/2023,6/15/2023,MHPU010000532023,04/01/2024,17/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
866,18/10/2023,2/26/2023,MHPU010258492022,01/03/2024,17/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
867,21/03/2023,10/22/2023,MHPU010176002023,11/08/2023,30/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
868,23/12/2023,3/20/2023,MHPU010258492022,18/09/2023,24/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,40
869,05/05/2023,3/15/2023,MHPU010258492022,13/04/2024,20/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
870,02/06/2023,12/3/2023,MHPU010043232023,13/07/2024,13/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,o21
871,21/12/2023,8/10/2023,MHPU010063022023,04/04/2024,05/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
872,16/10/2023,1/22/2023,MHPU010101462023,01/06/2023,07/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
873,26/05/2023,7/13/2023,MHPU010155972023,03/07/2024,28/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,40
874,19/01/2023,4/28/2023,MHPU010101462023,23/04/2023,01/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
875,09/03/2023,11/5/2023,MHPU010258492022,29/09/2023,27/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,151 dar
876,09/11/2023,7/25/2023,MHPU010074592023,24/01/2023,16/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
877,25/09/2023,4/17/2023,MHPU010060312023,26/07/2023,26/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,166
878,05/02/2023,3/8/2023,MHPU010101462023,09/07/2024,14/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
879,25/06/2023,12/3/2023,MHPU010060312023,10/07/2024,18/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,40
880,24/02/2023,11/18/2023,MHPU010074592023,30/07/2023,17/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,151 dar
881,02/12/2023,12/20/2023,MHPU010060312023,06/05/2023,31/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
882,30/04/2023,1/23/2023,MHPU010112742023,09/07/2024,13/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
883,12/06/2023,8/27/2023,MHPU010176002023,06/05/2023,07/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,40
884,20/10/2023,1/7/2023,MHPU010155972023,08/02/2023,26/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
885,24/08/2023,6/17/2023,MHPU010170062023,20/02/2023,22/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,140
886,22/02/2023,2/9/2023,MHPU010060312023,01/02/2023,21/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
887,04/12/2023,2/16/2023,MHPU010170062023,28/03/2024,24/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
888,15/10/2023,4/14/2023,MHPU010170062023,20/03/2023,25/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,o21
889,03/11/2023,11/17/2023,MHPU010176002023,18/03/2023,30/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,140
890,07/04/2023,1/28/2023,MHPU010112742023,26/03/2023,27/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
891,28/09/2023,10/30/2023,MHPU010086342023,12/03/2024,10/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
892,30/10/2023,6/28/2023,MHPU010086342023,17/12/2023,09/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
893,24/01/2023,4/16/2023,MHPU010063022023,04/04/2024,19/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
894,14/06/2023,8/22/2023,MHPU010112742023,04/04/2024,25/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,140
895,16/08/2023,11/28/2023,MHPU010112742023,06/09/2023,16/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
896,12/11/2023,2/7/2023,MHPU010064392023,16/06/2023,16/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
897,10/09/2023,8/4/2023,MHPU010176002023,07/05/2024,10/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
898,07/09/2023,12/16/2023,MHPU010258492022,15/08/2024,04/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
899,25/06/2023,3/13/2023,MHPU010000532023,24/12/2023,12/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
900,06/02/2023,4/3/2023,MHPU010000532023,18/03/2024,22/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,o21
901,20/11/2023,1/22/2023,MHPU010112742023,17/05/2024,20/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
902,12/07/2023,11/11/2023,MHPU010060312023,16/05/2023,16/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
903,24/07/2023,2/6/2023,MHPU010176002023,28/08/2023,19/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,166
904,27/12/2023,6/16/2023,MHPU010135842023,30/07/2024,10/12/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,o21
905,16/12/2023,8/16/2023,MHPU010043232023,24/04/2024,19/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
906,19/11/2023,7/2/2023,MHPU010063022023,11/12/2023,27/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
907,16/01/2023,3/29/2023,MHPU010043232023,05/07/2023,21/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,151 dar
908,13/06/2023,8/30/2023,MHPU010000532023,23/09/2023,05/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
909,15/01/2023,2/21/2023,MHPU010074592023,17/05/2024,19/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,o21
910,11/03/2023,8/31/2023,MHPU010176002023,23/09/2023,01/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
911,11/05/2023,9/9/2023,MHPU010170062023,26/09/2023,22/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
912,01/01/2023,2/11/2023,MHPU010112742023,08/07/2024,17/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,166
913,27/07/2023,9/6/2023,MHPU010155972023,17/07/2023,25/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
914,12/01/2023,1/5/2023,MHPU010063022023,27/01/2024,12/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
915,31/08/2023,7/7/2023,MHPU010135842023,05/06/2024,27/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
916,11/03/2023,6/17/2023,MHPU010064392023,15/02/2024,27/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
917,29/11/2023,11/22/2023,MHPU010170062023,15/01/2023,26/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,151 dar
918,07/07/2023,9/7/2023,MHPU010063022023,07/06/2023,17/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,151 dar
919,09/10/2023,5/10/2023,MHPU010170062023,03/08/2024,14/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,o21
920,01/03/2023,4/6/2023,MHPU010112742023,23/06/2023,02/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
921,25/09/2023,7/24/2023,MHPU010043232023,13/07/2024,29/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
922,13/07/2023,10/5/2023,MHPU010176002023,13/02/2024,10/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
923,15/12/2023,12/12/2023,MHPU010176002023,08/04/2023,04/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
924,31/10/2023,12/2/2023,MHPU010155972023,15/11/2023,11/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
925,16/06/2023,12/16/2023,MHPU010060312023,02/06/2023,17/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
926,28/09/2023,10/27/2023,MHPU010176002023,24/10/2023,04/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,o21
927,07/01/2023,2/28/2023,MHPU010043232023,19/05/2023,01/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,151 dar
928,18/10/2023,3/20/2023,MHPU010064392023,01/04/2023,02/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
929,04/07/2023,2/1/2023,MHPU010000532023,08/07/2023,13/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
930,10/07/2023,9/17/2023,MHPU010063022023,21/05/2023,15/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
931,23/08/2023,8/7/2023,MHPU010155972023,08/12/2023,24/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
